mixed_sound_id,true_band_score,true_mfcc_score,null_band_mean_L1,null_mfcc_mean_L1,null_band_std_L1,null_mfcc_std_L1,null_band_mean_L2,null_mfcc_mean_L2,null_band_std_L2,null_mfcc_std_L2,null_band_mean_L3,null_mfcc_mean_L3,null_band_std_L3,null_mfcc_std_L3
M0001,-1.0556030647110846,-66.68474578857422,-0.23255808967220118,-55.224396514892575,0.13432663207059253,10.535602519930125,-1.1066904075036317,-70.57130432128906,0.2549491878386653,4.36830406393955,-1.1871693313994514,-79.54320602416992,0.3499880915582887,19.962537449105163
M0002,-0.04656388454456607,-47.44937515258789,-0.37471395069916646,-46.39281463623047,0.2977689250809579,14.652017285265202,-0.4179235749308665,-57.05184707641602,0.26961590001194025,11.769042068421003,-0.3240712871083501,-46.61173706054687,0.24197126434803237,7.847169308880972
M0003,-0.04640250161008054,-49.76266860961914,-0.3414732364302556,-65.51355667114258,0.33230912500288096,6.098212009258459,-0.307238544658743,-57.17892150878906,0.15212087820303272,5.168189407249599,-0.40005957643241424,-64.55771331787109,0.38331764300477644,11.225472342369226
M0004,-0.18381459642404352,-101.71385955810547,-0.18255982000649226,-80.44080123901367,0.1581412714654597,18.980616356356464,-0.1122168830720521,-87.09585418701172,0.042487711317005745,6.174704733490092,-0.2377738782236639,-76.98312072753906,0.1516902384289107,14.972875682678435
M0005,-0.2956885288182134,-38.135135650634766,-0.33918019849974146,-55.46855239868164,0.23780880611942004,30.54917564357092,-0.38941740542897946,-45.543312072753906,0.18191327946801772,9.251212041674027,-0.07121470585446954,-47.23894271850586,0.041144114451755615,9.219388212754604
M0006,-0.19665259366460275,-85.91217041015625,-0.17832048496798414,-64.58364486694336,0.15167171818785338,27.64086256209742,-0.4073592396818155,-104.05400238037109,0.1433505872896371,28.51799639244309,-0.5175835810333211,-82.43108215332032,0.33085360639626166,11.264846995821536
M0007,-0.47825285516145466,-75.6875228881836,-0.31073610235451027,-116.27781372070312,0.1585610165000057,16.613826967294674,-0.4315865610298357,-84.46156616210938,0.04231444281285449,9.111156596147143,-0.3332351087585003,-92.47569427490234,0.18182770464344597,10.191064429006813
M0008,-0.23102927416813157,-76.02667999267578,-0.30381313520332387,-85.42506484985351,0.29977980269842325,14.0515253207249,-0.2974021917301101,-78.15759887695313,0.1561271343705506,9.130067247363886,-0.43606963690659306,-83.13150329589844,0.03932486509584045,7.858010410903859
M0009,-0.4886832355474881,-56.02614212036133,-1.3472421575464135,-87.6224349975586,0.26434238026738716,14.15754543322266,-0.8560439469920362,-65.98833389282227,0.36568496231706,5.54383995875453,-0.7388762453903068,-66.61987533569337,0.3049828254187399,7.736592166650622
M0010,-1.1987128503718745,-79.14458465576172,-1.35001272659682,-96.76732788085937,0.20825858866482239,14.515117972782088,-1.5219846796336385,-107.86401824951172,0.25480457956619,20.612810256410725,-1.7598712682981634,-118.67049407958984,0.053524716711782994,7.077191791109493
M0011,-0.38503030734956445,-91.40270233154297,-0.41011920236107874,-56.6193229675293,0.23780880611942004,28.09800456986946,-0.3238903315261944,-86.500146484375,0.038690110789734,7.348714175956308,-0.4184496103824718,-88.30075531005859,0.22078690683713398,8.35896775394598
M0012,-0.181930728669699,-40.49454116821289,-0.2749584616028195,-36.03266067504883,0.213966591520625,7.144901787456975,-0.4734507063201283,-32.56801223754883,0.3630035490708703,10.391935256844903,-0.4072183328599907,-38.70949821472168,0.2729420825251967,14.431616445223009
M0013,-0.0785228153785712,-47.98823928833008,-0.3878133178788672,-83.80790672302246,0.37194833333477123,37.718411834971384,-0.289229461395784,-42.67210731506348,0.14335058728963715,16.46507011862972,-0.3994538027472897,-54.41694717407226,0.33085360639626166,12.54808890317205
M0014,-0.06796221895106558,-29.247655868530273,-0.35445024284251614,-67.8156120300293,0.30427507729140274,26.285337071107147,-0.5536251696554657,-49.300131225585936,0.25433872338218844,14.780686265208422,-0.3884938355981097,-38.240885162353514,0.30224043621985264,4.556100529514936
M0015,-0.7868156165714897,-79.19450378417969,-0.12229185065262882,-48.62277717590332,0.11890624002116186,9.53181664522603,-0.4635437873097258,-47.80841751098633,0.25480457956619007,21.918318477302446,-0.22565719864520037,-39.05263175964355,0.05352471671178296,6.5632204717126825
M0016,-0.7611996998140417,-60.797325134277344,-1.1792377188434906,-121.36953430175781,0.1383360265093306,15.89497132146851,-1.151902123185043,-104.09530944824219,0.36254028678580247,28.61384019733825,-1.1255783151618441,-123.03525085449219,0.2721478835414843,18.849712768528065
M0017,-0.27200563711949866,-61.62919235229492,-0.20114070258774372,-73.44369583129883,0.12941672782062652,23.013103736314083,-0.3695644933035479,-46.95942687988281,0.17468537294467978,12.00589096609141,-0.5508784613156271,-46.938283157348636,0.31381203993937895,16.41056695638396
